Step,Energy
0,3491.47
200,3491.5
400,3491.53
600,3491.56
800,3491.59
1000,3491.62
1200,3491.65
1400,3491.68
1600,3491.72
1800,3491.76
2000,3491.8
2200,3491.84
2400,3491.9
2600,3491.97
2800,3492.04
3000,3492.13
3200,3492.21
3400,3492.29
3600,3492.37
3800,3492.45
4000,3492.53
4200,3492.62
4400,3492.7
4600,3492.79
4800,3492.88
5000,3492.97
5200,3493.06
5400,3493.15
5600,3493.23
5800,3493.33
6000,3493.43
6200,3493.53
6400,3493.63
6600,3493.73
6800,3493.84
7000,3493.94
7200,3494.06
7400,3494.18
7600,3494.3
7800,3494.42
8000,3494.55
8200,3494.69
8400,3494.82
8600,3494.97
8800,3495.11
9000,3495.26
9200,3495.4
9400,3495.55
9600,3495.69
9800,3495.84
