Step,Energy
0,3.92373e+06
200,3.92383e+06
400,3.92412e+06
600,3.92461e+06
800,3.92532e+06
1000,3.92629e+06
1200,3.92769e+06
1400,3.93163e+06
1600,3.93167e+06
1800,3.94105e+06
2000,3.93399e+06
2200,3.9366e+06
2400,3.93881e+06
2600,3.94133e+06
2800,3.94645e+06
3000,3.95187e+06
3200,3.95275e+06
3400,3.95734e+06
3600,3.95777e+06
3800,3.9628e+06
4000,3.96363e+06
4200,3.96889e+06
4400,3.98161e+06
4600,3.988e+06
4800,3.9856e+06
5000,3.99554e+06
5200,3.9971e+06
5400,4.02181e+06
5600,4.00579e+06
5800,4.00631e+06
6000,4.01753e+06
6200,4.03735e+06
6400,4.02494e+06
6600,4.04156e+06
6800,4.05782e+06
7000,4.05214e+06
7200,4.05703e+06
7400,4.06277e+06
7600,4.07361e+06
7800,4.0745e+06
8000,4.0817e+06
8200,4.0995e+06
8400,4.09838e+06
8600,4.10744e+06
8800,4.11818e+06
9000,4.12346e+06
9200,4.13192e+06
9400,4.13946e+06
9600,4.15025e+06
9800,4.16712e+06
