Step,Energy0,989489
1000,989489
2000,989489
3000,989490
4000,989490
5000,989490
6000,989491
7000,989491
8000,989492
9000,989493
10000,989494
11000,989495
12000,989496
13000,989497
14000,989498
15000,989500
16000,989501
17000,989503
18000,989504
19000,989506
20000,989508
21000,989510
22000,989512
23000,989514
24000,989516
25000,989518
26000,989521
27000,989523
28000,989526
29000,989529
30000,989532
31000,989534
32000,989538
33000,989541
34000,989544
35000,989547
36000,989551
37000,989554
38000,989558
39000,989562
40000,989566
41000,989570
42000,989574
43000,989578
44000,989582
45000,989587
46000,989591
47000,989596
48000,989601
49000,989606
