Step,Energy
0,659222
200,659542
400,661752
600,661915
800,664231
1000,671735
1200,668625
1400,672312
1600,678407
1800,681872
2000,687644
2200,694210
2400,699498
2600,708463
2800,711375
3000,719190
3200,727650
3400,737813
3600,747720
3800,761946
4000,771366
4200,785945
4400,805098
4600,819209
4800,836922
5000,855100
5200,874517
5400,899392
5600,922643
5800,949580
6000,982767
6200,1.01644e+06
6400,1.05762e+06
6600,1.10416e+06
6800,1.15708e+06
7000,1.21786e+06
7200,1.28892e+06
7400,1.37574e+06
7600,1.48109e+06
7800,1.61675e+06
8000,1.80324e+06
8200,2.06939e+06
8400,2.48374e+06
8600,3.16267e+06
8800,3.82744e+06
9000,4.07187e+06
9200,4.15775e+06
9400,4.11653e+06
9600,3.91786e+06
9800,3.73565e+06
