Step,Energy
0,980748
200,980761
400,980802
600,980870
800,980968
1000,981094
1200,981252
1400,981444
1600,981675
1800,981952
2000,982290
2200,982727
2400,983376
2600,985117
2800,987276
3000,988115
3200,988142
3400,992086
3600,986435
3800,987186
4000,987934
4200,989130
4400,988920
4600,997491
4800,991390
5000,989904
5200,991691
5400,996856
5600,991304
5800,991734
6000,992801
6200,1.00286e+06
6400,995264
6600,996606
6800,995602
7000,996336
7200,997398
7400,998876
7600,1.00423e+06
7800,1.0047e+06
8000,1.00903e+06
8200,1.00584e+06
8400,1.00643e+06
8600,1.01307e+06
8800,1.00869e+06
9000,1.01054e+06
9200,1.0154e+06
9400,1.02471e+06
9600,1.01427e+06
9800,1.02501e+06
