Step,Energy
0,980748
200,982290
400,987950
600,992781
800,1.0086e+06
1000,1.01761e+06
1200,1.03313e+06
1400,1.0506e+06
1600,1.07365e+06
1800,1.0905e+06
2000,1.11967e+06
2200,1.1481e+06
2400,1.18599e+06
2600,1.22602e+06
2800,1.28136e+06
3000,1.34142e+06
3200,1.4164e+06
3400,1.50885e+06
3600,1.62705e+06
3800,1.77578e+06
4000,1.97122e+06
4200,2.24619e+06
4400,2.59485e+06
4600,3.15577e+06
4800,4.35532e+06
5000,6.76928e+06
5200,6.46264e+06
5400,5.53854e+06
5600,4.79134e+06
5800,4.38702e+06
6000,4.07563e+06
6200,3.60903e+06
6400,3.24995e+06
6600,2.98681e+06
6800,2.79236e+06
7000,2.67614e+06
7200,2.60821e+06
7400,2.57415e+06
7600,2.55325e+06
7800,2.50361e+06
8000,2.45506e+06
8200,2.43074e+06
8400,2.43404e+06
8600,2.49115e+06
8800,2.52508e+06
9000,2.51715e+06
9200,2.53976e+06
9400,2.56113e+06
9600,2.49023e+06
9800,2.40062e+06
