Step,Energy0,3.93822e+06
1000,3.93822e+06
2000,3.93822e+06
3000,3.93822e+06
4000,3.93822e+06
5000,3.93822e+06
6000,3.93823e+06
7000,3.93823e+06
8000,3.93824e+06
9000,3.93824e+06
10000,3.93825e+06
11000,3.93825e+06
12000,3.93826e+06
13000,3.93826e+06
14000,3.93827e+06
15000,3.93828e+06
16000,3.93829e+06
17000,3.9383e+06
18000,3.93831e+06
19000,3.93832e+06
20000,3.93833e+06
21000,3.93834e+06
22000,3.93835e+06
23000,3.93837e+06
24000,3.93838e+06
25000,3.93839e+06
26000,3.93841e+06
27000,3.93842e+06
28000,3.93844e+06
29000,3.93845e+06
30000,3.93847e+06
31000,3.93849e+06
32000,3.93851e+06
33000,3.93852e+06
34000,3.93854e+06
35000,3.93856e+06
36000,3.93858e+06
37000,3.93861e+06
38000,3.93863e+06
39000,3.93865e+06
40000,3.93867e+06
41000,3.9387e+06
42000,3.93872e+06
43000,3.93874e+06
44000,3.93877e+06
45000,3.9388e+06
46000,3.93882e+06
47000,3.93885e+06
48000,3.93888e+06
49000,3.93891e+06
