Step,Energy
0,3.92373e+06
200,3.93398e+06
400,3.9636e+06
600,4.01634e+06
800,4.08135e+06
1000,4.17534e+06
1200,4.27313e+06
1400,4.42016e+06
1600,4.59792e+06
1800,4.82172e+06
2000,5.09975e+06
2200,5.45373e+06
2400,5.93934e+06
2600,6.60214e+06
2800,7.58643e+06
3000,9.15743e+06
3200,1.19921e+07
3400,1.82042e+07
3600,3.03335e+07
3800,2.36159e+07
4000,1.87241e+07
4200,1.56948e+07
4400,1.37067e+07
4600,1.24989e+07
4800,1.15308e+07
5000,1.08687e+07
5200,1.07004e+07
5400,1.06757e+07
5600,1.04682e+07
5800,1.01713e+07
6000,1.00339e+07
6200,1.00501e+07
6400,1.00121e+07
6600,9.88849e+06
6800,9.94414e+06
7000,1.00135e+07
7200,9.71419e+06
7400,9.41058e+06
7600,9.28684e+06
7800,9.33405e+06
8000,9.41382e+06
8200,9.41163e+06
8400,9.31952e+06
8600,9.37499e+06
8800,9.23748e+06
9000,9.16123e+06
9200,9.36329e+06
9400,9.44098e+06
9600,9.19696e+06
9800,8.96703e+06
