Step,Energy
0,980748
200,980748
400,980748
600,980748
800,980748
1000,980748
1200,980748
1400,980748
1600,980748
1800,980749
2000,980749
2200,980750
2400,980750
2600,980751
2800,980752
3000,980753
3200,980754
3400,980755
3600,980757
3800,980758
4000,980760
4200,980761
4400,980763
4600,980766
4800,980769
5000,980772
5200,980776
5400,980780
5600,980785
5800,980791
6000,980797
6200,980804
6400,980811
6600,980819
6800,980828
7000,980836
7200,980846
7400,980856
7600,980866
7800,980877
8000,980888
8200,980900
8400,980913
8600,980925
8800,980939
9000,980952
9200,980966
9400,980981
9600,980996
9800,981011
