Step,Energy
0,392184
200,2.38737e+06
400,514978
600,352708
800,323372
1000,302684
1200,272074
1400,261585
1600,248986
1800,237469
2000,220917
2200,221740
2400,212498
2600,202710
2800,189912
3000,186982
3200,186304
3400,184622
3600,176608
3800,168584
4000,168808
4200,177068
4400,163882
4600,154525
4800,158885
5000,156908
5200,150410
5400,148536
5600,148140
5800,145127
6000,137713
6200,139947
6400,141390
6600,139965
6800,140423
7000,136415
7200,131377
7400,130737
7600,134887
7800,126142
8000,106678
8200,126380
8400,128355
8600,123150
8800,115936
9000,110565
9200,111329
9400,115007
9600,117081
9800,115888
