0, 983844
2000, 983844
4000, 983844
6000, 983844
8000, 983844
10000, 983845
12000, 983845
14000, 983846
16000, 983846
18000, 983847
20000, 983848
22000, 983848
24000, 983849
26000, 983850
28000, 983851
30000, 983852
32000, 983854
34000, 983855
36000, 983856
38000, 983858
40000, 983859
42000, 983861
44000, 983862
46000, 983864
48000, 983866
50000, 983868
52000, 983870
54000, 983872
56000, 983874
58000, 983876
60000, 983878
62000, 983881
64000, 983883
66000, 983886
68000, 983888
70000, 983891
72000, 983894
74000, 983897
76000, 983900
78000, 983903
80000, 983906
82000, 983909
84000, 983912
86000, 983916
88000, 983919
90000, 983923
92000, 983926
94000, 983930
96000, 983934
98000, 983938
