Step,Energy
0,978815
200,1.13242e+06
400,1.28602e+06
600,1.43962e+06
800,1.59322e+06
1000,1.74682e+06
1200,1.90042e+06
1400,2.05403e+06
1600,2.20763e+06
1800,2.36124e+06
2000,2.51484e+06
2200,2.66845e+06
2400,2.82205e+06
2600,2.97566e+06
2800,3.12927e+06
3000,3.28287e+06
3200,3.43648e+06
3400,3.59009e+06
3600,3.74369e+06
3800,3.8973e+06
4000,4.05091e+06
4200,4.20452e+06
4400,4.35812e+06
4600,4.51173e+06
4800,4.66534e+06
5000,4.81895e+06
5200,4.97256e+06
5400,5.12616e+06
5600,5.27977e+06
5800,5.43338e+06
6000,5.58699e+06
6200,5.7406e+06
6400,5.89421e+06
6600,6.04782e+06
6800,6.20143e+06
7000,6.35504e+06
7200,6.50865e+06
7400,6.66226e+06
7600,6.81587e+06
7800,6.96948e+06
8000,7.12309e+06
8200,7.2767e+06
8400,7.43031e+06
8600,7.58392e+06
8800,7.73753e+06
9000,7.89114e+06
9200,8.04475e+06
9400,8.19837e+06
9600,8.35198e+06
9800,8.50559e+06
