Step,Energy
0,3491.47
200,3491.89
400,3492.55
600,3493.46
800,3494.61
1000,3496.01
1200,3497.66
1400,3499.54
1600,3501.68
1800,3504.07
2000,3506.71
2200,3509.6
2400,3512.75
2600,3516.14
2800,3519.79
3000,3523.71
3200,3527.87
3400,3532.3
3600,3537.01
3800,3541.98
4000,3547.22
4200,3552.73
4400,3558.53
4600,3564.6
4800,3570.95
5000,3577.59
5200,3584.53
5400,3591.76
5600,3599.31
5800,3607.14
6000,3615.3
6200,3623.78
6400,3632.58
6600,3641.72
6800,3651.19
7000,3660.98
7200,3671.15
7400,3681.67
7600,3692.55
7800,3703.79
8000,3715.42
8200,3727.44
8400,3739.86
8600,3752.68
8800,3765.94
9000,3779.62
9200,3793.74
9400,3808.32
9600,3823.37
9800,3838.9
